grade_code,segment,count,share
null,ITOPS,53,11.78
null,DATA_AI,35,7.78
CON,DATA_AI,29,6.44
null,CYBER,28,6.22
CON,POLICY_ADVISORY,27,6.0
I-1,DATA_AI,20,4.44
P-3,ITOPS,17,3.78
null,CLOUD,12,2.67
CON,SOFTWARE,10,2.22
I-1,ITOPS,9,2.0
null,POLICY_ADVISORY,9,2.0
null,PRODUCT,9,2.0
CON,INFO_KM,8,1.78
CON,ITOPS,7,1.56
G-7,ITOPS,7,1.56
P-3,DATA_AI,7,1.56
null,SOFTWARE,7,1.56
FG IV,CYBER,6,1.33
"AST 1, AST 2, AST 3",ITOPS,5,1.11
CON,CYBER,5,1.11
FG III,ITOPS,5,1.11
G-5,ITOPS,5,1.11
P-3,POLICY_ADVISORY,5,1.11
SC-5,ITOPS,5,1.11
null,INFO_KM,5,1.11
CON,PRODUCT,4,0.89
G-5,INFO_KM,4,0.89
G-6,INFO_KM,4,0.89
G-6,ITOPS,4,0.89
I-1,INFO_KM,4,0.89
NO-C,ITOPS,4,0.89
IN,CLOUD,3,0.67
NO-B,DATA_AI,3,0.67
NO-B,INFO_KM,3,0.67
NO-C,DATA_AI,3,0.67
P-5,DATA_AI,3,0.67
null,ENTERPRISE,3,0.67
CON,CLOUD,2,0.44
FG IV,PRODUCT,2,0.44
NO-A,ITOPS,2,0.44
P-4,DATA_AI,2,0.44
P-4,PRODUCT,2,0.44
SC-6,DATA_AI,2,0.44
SC-6,ITOPS,2,0.44
TI1,CLOUD,2,0.44
TI1,CYBER,2,0.44
TI1,ITOPS,2,0.44
TL6,ITOPS,2,0.44
"AD 5, AD 6, AD 7",CYBER,1,0.22
"AD 5, AD 6, AD 7",ITOPS,1,0.22
"AD 5, AD 6, AD 7",PRODUCT,1,0.22
"AST 1, AST 2, AST 3",CYBER,1,0.22
"AST 1, AST 2, AST 3",ENTERPRISE,1,0.22
"AST 1, AST 2, AST 3, AST 4",ITOPS,1,0.22
"AST 1, AST 3",INFO_KM,1,0.22
"AST-SC 1, AST-SC 2",ITOPS,1,0.22
CST-I,INFO_KM,1,0.22
D-1,POLICY_ADVISORY,1,0.22
D-2,ITOPS,1,0.22
FG II,ITOPS,1,0.22
FG IV,ITOPS,1,0.22
G-4,ITOPS,1,0.22
G-5,CYBER,1,0.22
G-5,DATA_AI,1,0.22
G5,ITOPS,1,0.22
GS6,ITOPS,1,0.22
I-1,SOFTWARE,1,0.22
IN,SOFTWARE,1,0.22
M1,ENTERPRISE,1,0.22
NO-A,DATA_AI,1,0.22
NO-A,INFO_KM,1,0.22
NO-A,SOFTWARE,1,0.22
NO-B,ITOPS,1,0.22
NO-B,SOFTWARE,1,0.22
NO-D,ITOPS,1,0.22
NOB,SOFTWARE,1,0.22
P-2,DATA_AI,1,0.22
P-2,INFO_KM,1,0.22
P-2,ITOPS,1,0.22
P-2,POLICY_ADVISORY,1,0.22
P-3,ENTERPRISE,1,0.22
P-3,INFO_KM,1,0.22
P-4,INFO_KM,1,0.22
P-4,ITOPS,1,0.22
P-4,POLICY_ADVISORY,1,0.22
P4,POLICY_ADVISORY,1,0.22
SC-07,ITOPS,1,0.22
SC-4,ITOPS,1,0.22
SC-8,DATA_AI,1,0.22
SC-9,INFO_KM,1,0.22
SSA-5,ITOPS,1,0.22
SSA-6,ITOPS,1,0.22
TI1,ENTERPRISE,1,0.22
TI2,CLOUD,1,0.22
TL3,INFO_KM,1,0.22
TL4,INFO_KM,1,0.22
TL4,ITOPS,1,0.22
TL5,ITOPS,1,0.22
TL5,PRODUCT,1,0.22
