source,total_count,digital_count,share_of_digital
un-careers,2225,171,38.0
unicef:pageup,1158,70,15.56
wfp:workday,612,35,7.78
unops:marketplace,409,27,6.0
european-commission,268,28,6.22
nato,244,38,8.44
adb.org,195,16,3.56
fao.org,148,9,2.0
wayback-unicef,140,8,1.78
eu-agencies-network,137,22,4.89
esa,103,7,1.56
wayback-unops,103,7,1.56
careers.icao.int,91,0,0.0
who,20,2,0.44
wipo,19,2,0.44
European Defence Agency,17,3,0.67
jobs.undp.org,12,5,1.11
vacancies.osce.org,12,0,0.0
imf.wd5.myworkdayjobs.com,10,0,0.0
oracle-hcm:CX_1001,9,0,0.0
ec-sne,8,0,0.0
jobs.ilo.org,6,0,0.0
www.unfpa.org/jobs,5,0,0.0
worldbankgroup.csod.com,4,0,0.0
careers.wmo.int,2,0,0.0
job.ifad.org,2,0,0.0
jobs.unwomen.org,1,0,0.0
recruit.imo.org,1,0,0.0
wto.wd103.myworkdayjobs.com,1,0,0.0
